date_i,date_j,clock_corr,tide_corr
2018-01-05,2018-01-21,0.0022686101688623164,0.7544305872506162
2018-01-05,2018-01-22,0.14492872617433122,0.7221587666557525
2018-01-05,2018-01-23,0.3615303211458262,0.6628947989621082
2018-01-05,2018-01-24,0.32644733289209527,0.7717474286622845
2018-01-06,2018-01-07,0.36947111619943074,0.8284590780272424
2018-01-06,2018-01-08,0.634448855838374,0.6838962600013669
2018-01-06,2018-01-09,0.18019581860554632,0.7055074649366055
2018-01-06,2018-01-10,0.5809858887745329,0.5644418271261943
2018-01-06,2018-01-11,0.43362555920847107,0.7823098023545146
2018-01-06,2018-01-19,0.3790988695533968,0.6340985423401974
2018-01-06,2018-01-20,0.6728811236453089,0.5236572754627729
2018-01-06,2018-01-21,-0.18235325699138633,0.5788080118311832
2018-01-06,2018-01-22,0.3175774226816846,0.6799733246725633
2018-01-06,2018-01-23,0.432933378429505,0.6292699871022603
2018-01-06,2018-01-24,0.2313828773641365,0.6999183242058659
2018-01-07,2018-01-08,0.5059593938046497,0.5951200783090053
2018-01-07,2018-01-09,0.256382707735271,0.6261760270588645
2018-01-07,2018-01-10,0.40574291167652354,0.3903035768071009
2018-01-07,2018-01-11,0.5880083040278046,0.615546505984315
2018-01-07,2018-01-19,0.32952718582791124,0.4453920014787728
2018-01-07,2018-01-20,0.6197805793060706,0.6316277839823684
2018-01-07,2018-01-21,0.19756398447080617,0.4472597276057047
2018-01-07,2018-01-22,0.35325082232900235,0.5663570394229708
2018-01-07,2018-01-23,0.2556026126173925,0.40445865381882173
2018-01-07,2018-01-24,0.18968147666333013,0.5467942956762784
2018-01-08,2018-01-09,0.18053085954892778,0.8031991284537139
2018-01-08,2018-01-10,0.43461223453288295,0.27343163045396573
2018-01-08,2018-01-11,0.6046595939682232,0.5409286404901681
2018-01-08,2018-01-19,0.4550056155514693,0.6290906819877553
2018-01-08,2018-01-20,0.6602884117155768,0.4989613834392624
2018-01-08,2018-01-21,0.0013451135606991583,0.4565785961719026
2018-01-08,2018-01-22,0.2313162247946699,0.41635404317004887
2018-01-08,2018-01-23,0.48429794406034843,0.4736460169982192
2018-01-08,2018-01-24,0.5174095617969481,0.6379404703624484
2018-01-09,2018-01-10,0.2920690965250481,0.34118972847050266
2018-01-09,2018-01-11,0.23080531853420738,0.44703415870637686
2018-01-09,2018-01-19,-0.03056234338114399,0.6546412637273605
2018-01-09,2018-01-20,0.18677911317054904,0.36906505190519073
2018-01-09,2018-01-21,0.08730795080892809,0.4928898146476889
2018-01-09,2018-01-22,0.00435599783808981,0.3368639999896935
2018-01-09,2018-01-23,0.2568533574964921,0.33291189933676124
2018-01-09,2018-01-24,0.2967342429921196,0.4883130789012627
2018-01-10,2018-01-11,0.49692786078962226,0.6737666416558034
2018-01-10,2018-01-19,0.32275611132733967,0.47582890155589586
2018-01-10,2018-01-20,0.37800440440415467,0.5680634770717877
2018-01-10,2018-01-21,0.2851203645986775,0.7686708984693731
2018-01-10,2018-01-22,0.6002627851130103,0.6446709589185852
2018-01-10,2018-01-23,0.28821275357190723,0.6640278254026126
2018-01-10,2018-01-24,0.26961678030546377,0.6329351945640476
2018-01-11,2018-01-19,0.7685259911472382,0.6794700292255638
2018-01-11,2018-01-20,0.4542166739451402,0.5153873048719998
2018-01-11,2018-01-21,0.20462227381031944,0.79237357385755
2018-01-11,2018-01-22,0.6012733927819447,0.801747671878723
2018-01-11,2018-01-23,0.5402087224355745,0.8416002255398769
2018-01-11,2018-01-24,0.4749082561917462,0.8859251267056406
2018-01-19,2018-01-20,0.342445853163991,0.3475683247093577
2018-01-19,2018-01-21,0.07981151268330942,0.7388906490151967
2018-01-19,2018-01-22,0.6337153898401847,0.5340983905404237
2018-01-19,2018-01-23,0.574240991251062,0.5687275931335521
2018-01-19,2018-01-24,0.5194662085331693,0.8255315230767669
2018-01-20,2018-01-21,-0.031993489347504594,0.5243200201510392
2018-01-20,2018-01-22,0.21674675110587838,0.5245987071058693
2018-01-20,2018-01-23,0.23735432409914392,0.5596563053652893
2018-01-20,2018-01-24,0.3705290064775623,0.5318839016991666
2018-01-21,2018-01-22,0.11299560613477475,0.5991297010194448
2018-01-21,2018-01-23,-0.03538526031543733,0.7483570488173407
2018-01-21,2018-01-24,0.07070786226755309,0.8305192038534801
2018-01-22,2018-01-23,0.47571853107553763,0.6205807100875537
2018-01-22,2018-01-24,0.1866968246312862,0.8142259336378135
2018-01-23,2018-01-24,0.21235442810796137,0.787236573248116
