row_number,time_window,old_order_zone,new_source_row_zone,output_zone,old_a_vessel_count,new_a_vessel_count,output_vessel_count,new_a_original_row_number,zone_position_changed,value_matches_new_a,output_order_matches_old_a
73,1/26/2018 0:00,外围区,核心区,外围区,1,1,1,75,True,True,True
74,1/26/2018 0:00,核心区,近港区,核心区,5,6,6,73,True,True,True
75,1/26/2018 0:00,近港区,外围区,近港区,2,4,4,74,True,True,True
76,1/26/2018 1:00,外围区,核心区,外围区,1,1,1,78,True,True,True
77,1/26/2018 1:00,核心区,近港区,核心区,2,2,2,76,True,True,True
78,1/26/2018 1:00,近港区,外围区,近港区,1,1,1,77,True,True,True
79,1/26/2018 2:00,外围区,核心区,外围区,1,1,1,81,True,True,True
80,1/26/2018 2:00,核心区,近港区,核心区,5,5,5,79,True,True,True
81,1/26/2018 2:00,近港区,外围区,近港区,2,2,2,80,True,True,True
82,1/26/2018 3:00,外围区,核心区,外围区,1,1,1,84,True,True,True
83,1/26/2018 3:00,核心区,近港区,核心区,8,9,9,82,True,True,True
84,1/26/2018 3:00,近港区,外围区,近港区,3,4,4,83,True,True,True
85,1/26/2018 4:00,外围区,核心区,外围区,1,2,2,87,True,True,True
86,1/26/2018 4:00,核心区,近港区,核心区,5,6,6,85,True,True,True
87,1/26/2018 4:00,近港区,外围区,近港区,2,2,2,86,True,True,True
88,1/26/2018 5:00,外围区,核心区,外围区,2,2,2,90,True,True,True
89,1/26/2018 5:00,核心区,近港区,核心区,2,3,3,88,True,True,True
90,1/26/2018 5:00,近港区,外围区,近港区,1,2,2,89,True,True,True
91,1/26/2018 6:00,外围区,核心区,外围区,1,1,1,93,True,True,True
92,1/26/2018 6:00,核心区,近港区,核心区,6,8,8,91,True,True,True
93,1/26/2018 6:00,近港区,外围区,近港区,3,4,4,92,True,True,True
94,1/26/2018 7:00,外围区,核心区,外围区,2,2,2,96,True,True,True
95,1/26/2018 7:00,核心区,近港区,核心区,7,9,9,94,True,True,True
96,1/26/2018 7:00,近港区,外围区,近港区,5,6,6,95,True,True,True
97,1/26/2018 8:00,外围区,核心区,外围区,2,2,2,99,True,True,True
98,1/26/2018 8:00,核心区,近港区,核心区,5,6,6,97,True,True,True
99,1/26/2018 8:00,近港区,外围区,近港区,5,5,5,98,True,True,True
100,1/26/2018 9:00,外围区,核心区,外围区,3,3,3,102,True,True,True
101,1/26/2018 9:00,核心区,近港区,核心区,3,4,4,100,True,True,True
102,1/26/2018 9:00,近港区,外围区,近港区,3,3,3,101,True,True,True
103,1/26/2018 10:00,外围区,核心区,外围区,3,3,3,105,True,True,True
104,1/26/2018 10:00,核心区,近港区,核心区,7,8,8,103,True,True,True
105,1/26/2018 10:00,近港区,外围区,近港区,5,6,6,104,True,True,True
106,1/26/2018 11:00,外围区,核心区,外围区,2,3,3,108,True,True,True
107,1/26/2018 11:00,核心区,近港区,核心区,8,10,10,106,True,True,True
108,1/26/2018 11:00,近港区,外围区,近港区,6,7,7,107,True,True,True
109,1/26/2018 12:00,外围区,核心区,外围区,3,3,3,111,True,True,True
110,1/26/2018 12:00,核心区,近港区,核心区,6,8,8,109,True,True,True
111,1/26/2018 12:00,近港区,外围区,近港区,4,5,5,110,True,True,True
112,1/26/2018 13:00,外围区,核心区,外围区,3,4,4,114,True,True,True
113,1/26/2018 13:00,核心区,近港区,核心区,4,5,5,112,True,True,True
114,1/26/2018 13:00,近港区,外围区,近港区,3,4,4,113,True,True,True
115,1/26/2018 14:00,外围区,核心区,外围区,2,2,2,117,True,True,True
116,1/26/2018 14:00,核心区,近港区,核心区,6,7,7,115,True,True,True
117,1/26/2018 14:00,近港区,外围区,近港区,4,5,5,116,True,True,True
118,1/26/2018 15:00,外围区,核心区,外围区,2,2,2,120,True,True,True
119,1/26/2018 15:00,核心区,近港区,核心区,8,10,10,118,True,True,True
120,1/26/2018 15:00,近港区,外围区,近港区,6,8,8,119,True,True,True
121,1/26/2018 16:00,外围区,核心区,外围区,2,2,2,123,True,True,True
122,1/26/2018 16:00,核心区,近港区,核心区,6,7,7,121,True,True,True
123,1/26/2018 16:00,近港区,外围区,近港区,4,5,5,122,True,True,True
124,1/26/2018 17:00,外围区,核心区,外围区,2,2,2,126,True,True,True
125,1/26/2018 17:00,核心区,近港区,核心区,4,5,5,124,True,True,True
126,1/26/2018 17:00,近港区,外围区,近港区,2,3,3,125,True,True,True
127,1/26/2018 18:00,外围区,核心区,外围区,1,2,2,129,True,True,True
128,1/26/2018 18:00,核心区,近港区,核心区,7,8,8,127,True,True,True
129,1/26/2018 18:00,近港区,外围区,近港区,4,5,5,128,True,True,True
130,1/26/2018 19:00,外围区,核心区,外围区,1,1,1,132,True,True,True
131,1/26/2018 19:00,核心区,近港区,核心区,9,12,12,130,True,True,True
132,1/26/2018 19:00,近港区,外围区,近港区,7,9,9,131,True,True,True
133,1/26/2018 20:00,外围区,核心区,外围区,2,2,2,135,True,True,True
134,1/26/2018 20:00,核心区,近港区,核心区,6,8,8,133,True,True,True
135,1/26/2018 20:00,近港区,外围区,近港区,4,6,6,134,True,True,True
136,1/26/2018 21:00,外围区,核心区,外围区,2,3,3,138,True,True,True
137,1/26/2018 21:00,核心区,近港区,核心区,3,4,4,136,True,True,True
138,1/26/2018 21:00,近港区,外围区,近港区,2,2,2,137,True,True,True
139,1/26/2018 22:00,外围区,核心区,外围区,1,1,1,141,True,True,True
140,1/26/2018 22:00,核心区,近港区,核心区,5,7,7,139,True,True,True
141,1/26/2018 22:00,近港区,外围区,近港区,3,3,3,140,True,True,True
142,1/26/2018 23:00,外围区,核心区,外围区,1,1,1,144,True,True,True
143,1/26/2018 23:00,核心区,近港区,核心区,8,10,10,142,True,True,True
144,1/26/2018 23:00,近港区,外围区,近港区,4,6,6,143,True,True,True
145,1/27/2018 0:00,外围区,核心区,外围区,2,2,2,147,True,True,True
146,1/27/2018 0:00,核心区,近港区,核心区,5,6,6,145,True,True,True
147,1/27/2018 0:00,近港区,外围区,近港区,3,3,3,146,True,True,True
148,1/27/2018 1:00,外围区,核心区,外围区,2,2,2,150,True,True,True
149,1/27/2018 1:00,核心区,近港区,核心区,2,2,2,148,True,True,True
150,1/27/2018 1:00,近港区,外围区,近港区,1,1,1,149,True,True,True
151,1/27/2018 2:00,外围区,核心区,外围区,1,1,1,153,True,True,True
152,1/27/2018 2:00,核心区,近港区,核心区,5,7,7,151,True,True,True
153,1/27/2018 2:00,近港区,外围区,近港区,2,2,2,152,True,True,True
154,1/27/2018 3:00,外围区,核心区,外围区,1,1,1,156,True,True,True
155,1/27/2018 3:00,核心区,近港区,核心区,8,10,10,154,True,True,True
156,1/27/2018 3:00,近港区,外围区,近港区,4,6,6,155,True,True,True
157,1/27/2018 4:00,外围区,核心区,外围区,1,1,1,159,True,True,True
158,1/27/2018 4:00,核心区,近港区,核心区,6,7,7,157,True,True,True
159,1/27/2018 4:00,近港区,外围区,近港区,2,3,3,158,True,True,True
160,1/27/2018 5:00,外围区,核心区,外围区,2,2,2,162,True,True,True
161,1/27/2018 5:00,核心区,近港区,核心区,2,2,2,160,True,True,True
162,1/27/2018 5:00,近港区,外围区,近港区,1,1,1,161,True,True,True
163,1/27/2018 6:00,外围区,核心区,外围区,1,1,1,165,True,True,True
164,1/27/2018 6:00,核心区,近港区,核心区,7,8,8,163,True,True,True
165,1/27/2018 6:00,近港区,外围区,近港区,3,3,3,164,True,True,True
166,1/27/2018 7:00,外围区,核心区,外围区,2,2,2,168,True,True,True
167,1/27/2018 7:00,核心区,近港区,核心区,8,9,9,166,True,True,True
168,1/27/2018 7:00,近港区,外围区,近港区,5,5,5,167,True,True,True
169,1/27/2018 8:00,外围区,核心区,外围区,2,2,2,171,True,True,True
170,1/27/2018 8:00,核心区,近港区,核心区,6,7,7,169,True,True,True
171,1/27/2018 8:00,近港区,外围区,近港区,5,5,5,170,True,True,True
172,1/27/2018 9:00,外围区,核心区,外围区,3,3,3,174,True,True,True
173,1/27/2018 9:00,核心区,近港区,核心区,3,4,4,172,True,True,True
174,1/27/2018 9:00,近港区,外围区,近港区,4,4,4,173,True,True,True
175,1/27/2018 10:00,外围区,核心区,外围区,3,3,3,177,True,True,True
176,1/27/2018 10:00,核心区,近港区,核心区,8,8,8,175,True,True,True
177,1/27/2018 10:00,近港区,外围区,近港区,5,6,6,176,True,True,True
178,1/27/2018 11:00,外围区,核心区,外围区,2,2,2,180,True,True,True
179,1/27/2018 11:00,核心区,近港区,核心区,9,9,9,178,True,True,True
180,1/27/2018 11:00,近港区,外围区,近港区,7,7,7,179,True,True,True
181,1/27/2018 12:00,外围区,核心区,外围区,3,4,4,183,True,True,True
182,1/27/2018 12:00,核心区,近港区,核心区,7,7,7,181,True,True,True
183,1/27/2018 12:00,近港区,外围区,近港区,4,5,5,182,True,True,True
184,1/27/2018 13:00,外围区,核心区,外围区,3,3,3,186,True,True,True
185,1/27/2018 13:00,核心区,近港区,核心区,4,6,6,184,True,True,True
186,1/27/2018 13:00,近港区,外围区,近港区,3,4,4,185,True,True,True
187,1/27/2018 14:00,外围区,核心区,外围区,2,3,3,189,True,True,True
188,1/27/2018 14:00,核心区,近港区,核心区,6,7,7,187,True,True,True
189,1/27/2018 14:00,近港区,外围区,近港区,5,5,5,188,True,True,True
190,1/27/2018 15:00,外围区,核心区,外围区,2,2,2,192,True,True,True
191,1/27/2018 15:00,核心区,近港区,核心区,9,8,8,190,True,True,True
192,1/27/2018 15:00,近港区,外围区,近港区,7,6,6,191,True,True,True
193,1/27/2018 16:00,外围区,核心区,外围区,2,3,3,195,True,True,True
194,1/27/2018 16:00,核心区,近港区,核心区,6,8,8,193,True,True,True
195,1/27/2018 16:00,近港区,外围区,近港区,4,5,5,194,True,True,True
196,1/27/2018 17:00,外围区,核心区,外围区,2,2,2,198,True,True,True
197,1/27/2018 17:00,核心区,近港区,核心区,5,5,5,196,True,True,True
198,1/27/2018 17:00,近港区,外围区,近港区,3,3,3,197,True,True,True
199,1/27/2018 18:00,外围区,核心区,外围区,1,2,2,201,True,True,True
200,1/27/2018 18:00,核心区,近港区,核心区,8,8,8,199,True,True,True
201,1/27/2018 18:00,近港区,外围区,近港区,5,6,6,200,True,True,True
202,1/27/2018 19:00,外围区,核心区,外围区,1,1,1,204,True,True,True
203,1/27/2018 19:00,核心区,近港区,核心区,12,12,12,202,True,True,True
204,1/27/2018 19:00,近港区,外围区,近港区,7,7,7,203,True,True,True
205,1/27/2018 20:00,外围区,核心区,外围区,2,2,2,207,True,True,True
206,1/27/2018 20:00,核心区,近港区,核心区,6,7,7,205,True,True,True
207,1/27/2018 20:00,近港区,外围区,近港区,5,5,5,206,True,True,True
208,1/27/2018 21:00,外围区,核心区,外围区,2,2,2,210,True,True,True
209,1/27/2018 21:00,核心区,近港区,核心区,3,4,4,208,True,True,True
210,1/27/2018 21:00,近港区,外围区,近港区,2,2,2,209,True,True,True
211,1/27/2018 22:00,外围区,核心区,外围区,1,1,1,213,True,True,True
212,1/27/2018 22:00,核心区,近港区,核心区,6,6,6,211,True,True,True
213,1/27/2018 22:00,近港区,外围区,近港区,3,4,4,212,True,True,True
214,1/27/2018 23:00,外围区,核心区,外围区,1,1,1,216,True,True,True
215,1/27/2018 23:00,核心区,近港区,核心区,8,10,10,214,True,True,True
216,1/27/2018 23:00,近港区,外围区,近港区,5,5,5,215,True,True,True
217,1/28/2018 0:00,外围区,核心区,外围区,1,2,2,219,True,True,True
218,1/28/2018 0:00,核心区,近港区,核心区,5,6,6,217,True,True,True
219,1/28/2018 0:00,近港区,外围区,近港区,2,3,3,218,True,True,True
220,1/28/2018 1:00,外围区,核心区,外围区,1,2,2,222,True,True,True
221,1/28/2018 1:00,核心区,近港区,核心区,2,2,2,220,True,True,True
222,1/28/2018 1:00,近港区,外围区,近港区,1,1,1,221,True,True,True
223,1/28/2018 2:00,外围区,核心区,外围区,1,1,1,225,True,True,True
224,1/28/2018 2:00,核心区,近港区,核心区,5,7,7,223,True,True,True
225,1/28/2018 2:00,近港区,外围区,近港区,2,2,2,224,True,True,True
226,1/28/2018 3:00,外围区,核心区,外围区,1,1,1,228,True,True,True
227,1/28/2018 3:00,核心区,近港区,核心区,8,10,10,226,True,True,True
228,1/28/2018 3:00,近港区,外围区,近港区,4,6,6,227,True,True,True
229,1/28/2018 4:00,外围区,核心区,外围区,1,1,1,231,True,True,True
230,1/28/2018 4:00,核心区,近港区,核心区,5,7,7,229,True,True,True
231,1/28/2018 4:00,近港区,外围区,近港区,2,3,3,230,True,True,True
232,1/28/2018 5:00,外围区,核心区,外围区,2,2,2,234,True,True,True
233,1/28/2018 5:00,核心区,近港区,核心区,2,2,2,232,True,True,True
234,1/28/2018 5:00,近港区,外围区,近港区,1,1,1,233,True,True,True
235,1/28/2018 6:00,外围区,核心区,外围区,1,1,1,237,True,True,True
236,1/28/2018 6:00,核心区,近港区,核心区,6,8,8,235,True,True,True
237,1/28/2018 6:00,近港区,外围区,近港区,3,3,3,236,True,True,True
238,1/28/2018 7:00,外围区,核心区,外围区,2,2,2,240,True,True,True
239,1/28/2018 7:00,核心区,近港区,核心区,7,9,9,238,True,True,True
240,1/28/2018 7:00,近港区,外围区,近港区,5,5,5,239,True,True,True
241,1/28/2018 8:00,外围区,核心区,外围区,2,2,2,243,True,True,True
242,1/28/2018 8:00,核心区,近港区,核心区,5,7,7,241,True,True,True
243,1/28/2018 8:00,近港区,外围区,近港区,5,5,5,242,True,True,True
244,1/28/2018 9:00,外围区,核心区,外围区,3,3,3,246,True,True,True
245,1/28/2018 9:00,核心区,近港区,核心区,3,4,4,244,True,True,True
246,1/28/2018 9:00,近港区,外围区,近港区,3,4,4,245,True,True,True
247,1/28/2018 10:00,外围区,核心区,外围区,3,3,3,249,True,True,True
248,1/28/2018 10:00,核心区,近港区,核心区,7,8,8,247,True,True,True
249,1/28/2018 10:00,近港区,外围区,近港区,5,6,6,248,True,True,True
250,1/28/2018 11:00,外围区,核心区,外围区,2,2,2,252,True,True,True
251,1/28/2018 11:00,核心区,近港区,核心区,9,9,9,250,True,True,True
252,1/28/2018 11:00,近港区,外围区,近港区,6,7,7,251,True,True,True
253,1/28/2018 12:00,外围区,核心区,外围区,3,4,4,255,True,True,True
254,1/28/2018 12:00,核心区,近港区,核心区,6,7,7,253,True,True,True
255,1/28/2018 12:00,近港区,外围区,近港区,4,5,5,254,True,True,True
256,1/28/2018 13:00,外围区,核心区,外围区,3,3,3,258,True,True,True
257,1/28/2018 13:00,核心区,近港区,核心区,4,6,6,256,True,True,True
258,1/28/2018 13:00,近港区,外围区,近港区,3,4,4,257,True,True,True
259,1/28/2018 14:00,外围区,核心区,外围区,2,3,3,261,True,True,True
260,1/28/2018 14:00,核心区,近港区,核心区,6,7,7,259,True,True,True
261,1/28/2018 14:00,近港区,外围区,近港区,5,5,5,260,True,True,True
262,1/28/2018 15:00,外围区,核心区,外围区,2,2,2,264,True,True,True
263,1/28/2018 15:00,核心区,近港区,核心区,8,8,8,262,True,True,True
264,1/28/2018 15:00,近港区,外围区,近港区,6,6,6,263,True,True,True
265,1/28/2018 16:00,外围区,核心区,外围区,2,3,3,267,True,True,True
266,1/28/2018 16:00,核心区,近港区,核心区,6,8,8,265,True,True,True
267,1/28/2018 16:00,近港区,外围区,近港区,4,5,5,266,True,True,True
268,1/28/2018 17:00,外围区,核心区,外围区,2,2,2,270,True,True,True
269,1/28/2018 17:00,核心区,近港区,核心区,4,5,5,268,True,True,True
270,1/28/2018 17:00,近港区,外围区,近港区,3,3,3,269,True,True,True
271,1/28/2018 18:00,外围区,核心区,外围区,1,2,2,273,True,True,True
272,1/28/2018 18:00,核心区,近港区,核心区,7,8,8,271,True,True,True
273,1/28/2018 18:00,近港区,外围区,近港区,4,6,6,272,True,True,True
274,1/28/2018 19:00,外围区,核心区,外围区,1,1,1,276,True,True,True
275,1/28/2018 19:00,核心区,近港区,核心区,9,12,12,274,True,True,True
276,1/28/2018 19:00,近港区,外围区,近港区,7,7,7,275,True,True,True
277,1/28/2018 20:00,外围区,核心区,外围区,2,2,2,279,True,True,True
278,1/28/2018 20:00,核心区,近港区,核心区,6,7,7,277,True,True,True
279,1/28/2018 20:00,近港区,外围区,近港区,4,5,5,278,True,True,True
280,1/28/2018 21:00,外围区,核心区,外围区,2,2,2,282,True,True,True
281,1/28/2018 21:00,核心区,近港区,核心区,3,4,4,280,True,True,True
282,1/28/2018 21:00,近港区,外围区,近港区,2,2,2,281,True,True,True
283,1/28/2018 22:00,外围区,核心区,外围区,1,1,1,285,True,True,True
284,1/28/2018 22:00,核心区,近港区,核心区,5,6,6,283,True,True,True
285,1/28/2018 22:00,近港区,外围区,近港区,3,4,4,284,True,True,True
286,1/28/2018 23:00,外围区,核心区,外围区,1,1,1,288,True,True,True
287,1/28/2018 23:00,核心区,近港区,核心区,8,10,10,286,True,True,True
288,1/28/2018 23:00,近港区,外围区,近港区,4,5,5,287,True,True,True
289,1/29/2018 0:00,外围区,核心区,外围区,1,1,1,291,True,True,True
290,1/29/2018 0:00,核心区,近港区,核心区,5,6,6,289,True,True,True
291,1/29/2018 0:00,近港区,外围区,近港区,2,4,4,290,True,True,True
292,1/29/2018 1:00,外围区,核心区,外围区,1,1,1,294,True,True,True
293,1/29/2018 1:00,核心区,近港区,核心区,2,2,2,292,True,True,True
294,1/29/2018 1:00,近港区,外围区,近港区,1,1,1,293,True,True,True
295,1/29/2018 2:00,外围区,核心区,外围区,1,1,1,297,True,True,True
296,1/29/2018 2:00,核心区,近港区,核心区,4,5,5,295,True,True,True
297,1/29/2018 2:00,近港区,外围区,近港区,2,2,2,296,True,True,True
298,1/29/2018 3:00,外围区,核心区,外围区,1,1,1,300,True,True,True
299,1/29/2018 3:00,核心区,近港区,核心区,8,9,9,298,True,True,True
300,1/29/2018 3:00,近港区,外围区,近港区,3,4,4,299,True,True,True
301,1/29/2018 4:00,外围区,核心区,外围区,1,2,2,303,True,True,True
302,1/29/2018 4:00,核心区,近港区,核心区,5,6,6,301,True,True,True
303,1/29/2018 4:00,近港区,外围区,近港区,2,2,2,302,True,True,True
304,1/29/2018 5:00,外围区,核心区,外围区,2,2,2,306,True,True,True
305,1/29/2018 5:00,核心区,近港区,核心区,2,3,3,304,True,True,True
306,1/29/2018 5:00,近港区,外围区,近港区,1,2,2,305,True,True,True
307,1/29/2018 6:00,外围区,核心区,外围区,1,1,1,309,True,True,True
308,1/29/2018 6:00,核心区,近港区,核心区,6,8,8,307,True,True,True
309,1/29/2018 6:00,近港区,外围区,近港区,3,4,4,308,True,True,True
310,1/29/2018 7:00,外围区,核心区,外围区,2,2,2,312,True,True,True
311,1/29/2018 7:00,核心区,近港区,核心区,7,9,9,310,True,True,True
312,1/29/2018 7:00,近港区,外围区,近港区,5,6,6,311,True,True,True
313,1/29/2018 8:00,外围区,核心区,外围区,2,2,2,315,True,True,True
314,1/29/2018 8:00,核心区,近港区,核心区,5,6,6,313,True,True,True
315,1/29/2018 8:00,近港区,外围区,近港区,5,5,5,314,True,True,True
316,1/29/2018 9:00,外围区,核心区,外围区,3,3,3,318,True,True,True
317,1/29/2018 9:00,核心区,近港区,核心区,3,4,4,316,True,True,True
318,1/29/2018 9:00,近港区,外围区,近港区,3,3,3,317,True,True,True
319,1/29/2018 10:00,外围区,核心区,外围区,3,3,3,321,True,True,True
320,1/29/2018 10:00,核心区,近港区,核心区,7,8,8,319,True,True,True
321,1/29/2018 10:00,近港区,外围区,近港区,5,6,6,320,True,True,True
322,1/29/2018 11:00,外围区,核心区,外围区,2,3,3,324,True,True,True
323,1/29/2018 11:00,核心区,近港区,核心区,7,10,10,322,True,True,True
324,1/29/2018 11:00,近港区,外围区,近港区,6,7,7,323,True,True,True
325,1/29/2018 12:00,外围区,核心区,外围区,3,3,3,327,True,True,True
326,1/29/2018 12:00,核心区,近港区,核心区,6,8,8,325,True,True,True
327,1/29/2018 12:00,近港区,外围区,近港区,4,5,5,326,True,True,True
328,1/29/2018 13:00,外围区,核心区,外围区,3,4,4,330,True,True,True
329,1/29/2018 13:00,核心区,近港区,核心区,4,5,5,328,True,True,True
330,1/29/2018 13:00,近港区,外围区,近港区,3,4,4,329,True,True,True
331,1/29/2018 14:00,外围区,核心区,外围区,2,2,2,333,True,True,True
332,1/29/2018 14:00,核心区,近港区,核心区,6,7,7,331,True,True,True
333,1/29/2018 14:00,近港区,外围区,近港区,4,5,5,332,True,True,True
334,1/29/2018 15:00,外围区,核心区,外围区,2,2,2,336,True,True,True
335,1/29/2018 15:00,核心区,近港区,核心区,7,10,10,334,True,True,True
336,1/29/2018 15:00,近港区,外围区,近港区,6,8,8,335,True,True,True
337,1/29/2018 16:00,外围区,核心区,外围区,2,2,2,339,True,True,True
338,1/29/2018 16:00,核心区,近港区,核心区,6,7,7,337,True,True,True
339,1/29/2018 16:00,近港区,外围区,近港区,4,5,5,338,True,True,True
340,1/29/2018 17:00,外围区,核心区,外围区,2,2,2,342,True,True,True
341,1/29/2018 17:00,核心区,近港区,核心区,4,5,5,340,True,True,True
342,1/29/2018 17:00,近港区,外围区,近港区,2,3,3,341,True,True,True
343,1/29/2018 18:00,外围区,核心区,外围区,1,2,2,345,True,True,True
344,1/29/2018 18:00,核心区,近港区,核心区,7,8,8,343,True,True,True
345,1/29/2018 18:00,近港区,外围区,近港区,4,5,5,344,True,True,True
346,1/29/2018 19:00,外围区,核心区,外围区,1,1,1,348,True,True,True
347,1/29/2018 19:00,核心区,近港区,核心区,9,12,12,346,True,True,True
348,1/29/2018 19:00,近港区,外围区,近港区,7,9,9,347,True,True,True
349,1/29/2018 20:00,外围区,核心区,外围区,2,2,2,351,True,True,True
350,1/29/2018 20:00,核心区,近港区,核心区,6,8,8,349,True,True,True
351,1/29/2018 20:00,近港区,外围区,近港区,4,6,6,350,True,True,True
352,1/29/2018 21:00,外围区,核心区,外围区,2,3,3,354,True,True,True
353,1/29/2018 21:00,核心区,近港区,核心区,3,4,4,352,True,True,True
354,1/29/2018 21:00,近港区,外围区,近港区,2,2,2,353,True,True,True
