row_number,time_window,source_zone,target_zone,task_key,baseline_vessel_count,hybrid_vessel_count,difference,was_replaced,value_unchanged_when_not_replaced
31,1/25/2018 5:00,核心区,近港区,core->near,0,0,0,True,True
32,1/25/2018 5:00,核心区,外围区,core->outer,0,0,0,False,True
33,1/25/2018 5:00,近港区,核心区,near->core,1,1,0,True,True
34,1/25/2018 5:00,近港区,外围区,near->outer,0,0,0,False,True
35,1/25/2018 5:00,外围区,核心区,outer->core,0,0,0,False,True
36,1/25/2018 5:00,外围区,近港区,outer->near,1,1,0,False,True
37,1/25/2018 6:00,核心区,近港区,core->near,2,2,0,True,True
38,1/25/2018 6:00,核心区,外围区,core->outer,1,1,0,False,True
39,1/25/2018 6:00,近港区,核心区,near->core,1,1,0,True,True
40,1/25/2018 6:00,近港区,外围区,near->outer,0,0,0,False,True
41,1/25/2018 6:00,外围区,核心区,outer->core,0,0,0,False,True
42,1/25/2018 6:00,外围区,近港区,outer->near,0,0,0,False,True
43,1/25/2018 7:00,核心区,近港区,core->near,1,1,0,True,True
44,1/25/2018 7:00,核心区,外围区,core->outer,0,0,0,False,True
45,1/25/2018 7:00,近港区,核心区,near->core,1,2,1,True,True
46,1/25/2018 7:00,近港区,外围区,near->outer,0,0,0,False,True
47,1/25/2018 7:00,外围区,核心区,outer->core,0,0,0,False,True
48,1/25/2018 7:00,外围区,近港区,outer->near,1,1,0,False,True
49,1/25/2018 8:00,核心区,近港区,core->near,1,1,0,True,True
50,1/25/2018 8:00,核心区,外围区,core->outer,0,0,0,False,True
51,1/25/2018 8:00,近港区,核心区,near->core,1,2,1,True,True
52,1/25/2018 8:00,近港区,外围区,near->outer,1,1,0,False,True
53,1/25/2018 8:00,外围区,核心区,outer->core,0,0,0,False,True
54,1/25/2018 8:00,外围区,近港区,outer->near,0,0,0,False,True
55,1/25/2018 9:00,核心区,近港区,core->near,1,1,0,True,True
56,1/25/2018 9:00,核心区,外围区,core->outer,0,0,0,False,True
57,1/25/2018 9:00,近港区,核心区,near->core,1,1,0,True,True
58,1/25/2018 9:00,近港区,外围区,near->outer,0,0,0,False,True
59,1/25/2018 9:00,外围区,核心区,outer->core,0,0,0,False,True
60,1/25/2018 9:00,外围区,近港区,outer->near,1,1,0,False,True
61,1/25/2018 10:00,核心区,近港区,core->near,2,2,0,True,True
62,1/25/2018 10:00,核心区,外围区,core->outer,0,0,0,False,True
63,1/25/2018 10:00,近港区,核心区,near->core,1,1,0,True,True
64,1/25/2018 10:00,近港区,外围区,near->outer,0,0,0,False,True
65,1/25/2018 10:00,外围区,核心区,outer->core,0,0,0,False,True
66,1/25/2018 10:00,外围区,近港区,outer->near,1,1,0,False,True
67,1/25/2018 11:00,核心区,近港区,core->near,1,1,0,True,True
68,1/25/2018 11:00,核心区,外围区,core->outer,0,0,0,False,True
69,1/25/2018 11:00,近港区,核心区,near->core,1,2,1,True,True
70,1/25/2018 11:00,近港区,外围区,near->outer,1,1,0,False,True
71,1/25/2018 11:00,外围区,核心区,outer->core,0,0,0,False,True
72,1/25/2018 11:00,外围区,近港区,outer->near,0,0,0,False,True
73,1/25/2018 12:00,核心区,近港区,core->near,1,1,0,True,True
74,1/25/2018 12:00,核心区,外围区,core->outer,0,0,0,False,True
75,1/25/2018 12:00,近港区,核心区,near->core,1,1,0,True,True
76,1/25/2018 12:00,近港区,外围区,near->outer,0,0,0,False,True
77,1/25/2018 12:00,外围区,核心区,outer->core,0,0,0,False,True
78,1/25/2018 12:00,外围区,近港区,outer->near,0,0,0,False,True
79,1/25/2018 13:00,核心区,近港区,core->near,1,1,0,True,True
80,1/25/2018 13:00,核心区,外围区,core->outer,0,0,0,False,True
81,1/25/2018 13:00,近港区,核心区,near->core,1,1,0,True,True
82,1/25/2018 13:00,近港区,外围区,near->outer,0,0,0,False,True
83,1/25/2018 13:00,外围区,核心区,outer->core,0,0,0,False,True
84,1/25/2018 13:00,外围区,近港区,outer->near,1,1,0,False,True
85,1/25/2018 14:00,核心区,近港区,core->near,2,2,0,True,True
86,1/25/2018 14:00,核心区,外围区,core->outer,0,0,0,False,True
87,1/25/2018 14:00,近港区,核心区,near->core,1,1,0,True,True
88,1/25/2018 14:00,近港区,外围区,near->outer,0,0,0,False,True
89,1/25/2018 14:00,外围区,核心区,outer->core,0,0,0,False,True
90,1/25/2018 14:00,外围区,近港区,outer->near,0,0,0,False,True
91,1/25/2018 15:00,核心区,近港区,core->near,1,1,0,True,True
92,1/25/2018 15:00,核心区,外围区,core->outer,0,0,0,False,True
93,1/25/2018 15:00,近港区,核心区,near->core,2,2,0,True,True
94,1/25/2018 15:00,近港区,外围区,near->outer,0,0,0,False,True
95,1/25/2018 15:00,外围区,核心区,outer->core,0,0,0,False,True
96,1/25/2018 15:00,外围区,近港区,outer->near,0,0,0,False,True
97,1/25/2018 16:00,核心区,近港区,core->near,1,1,0,True,True
98,1/25/2018 16:00,核心区,外围区,core->outer,0,0,0,False,True
99,1/25/2018 16:00,近港区,核心区,near->core,1,1,0,True,True
100,1/25/2018 16:00,近港区,外围区,near->outer,0,0,0,False,True
101,1/25/2018 16:00,外围区,核心区,outer->core,0,0,0,False,True
102,1/25/2018 16:00,外围区,近港区,outer->near,0,0,0,False,True
103,1/25/2018 17:00,核心区,近港区,core->near,1,1,0,True,True
104,1/25/2018 17:00,核心区,外围区,core->outer,0,0,0,False,True
105,1/25/2018 17:00,近港区,核心区,near->core,1,1,0,True,True
106,1/25/2018 17:00,近港区,外围区,near->outer,0,0,0,False,True
107,1/25/2018 17:00,外围区,核心区,outer->core,0,0,0,False,True
108,1/25/2018 17:00,外围区,近港区,outer->near,1,1,0,False,True
109,1/25/2018 18:00,核心区,近港区,core->near,2,2,0,True,True
110,1/25/2018 18:00,核心区,外围区,core->outer,0,0,0,False,True
111,1/25/2018 18:00,近港区,核心区,near->core,1,1,0,True,True
112,1/25/2018 18:00,近港区,外围区,near->outer,0,0,0,False,True
113,1/25/2018 18:00,外围区,核心区,outer->core,0,0,0,False,True
114,1/25/2018 18:00,外围区,近港区,outer->near,1,1,0,False,True
115,1/25/2018 19:00,核心区,近港区,core->near,1,1,0,True,True
116,1/25/2018 19:00,核心区,外围区,core->outer,0,0,0,False,True
117,1/25/2018 19:00,近港区,核心区,near->core,1,2,1,True,True
118,1/25/2018 19:00,近港区,外围区,near->outer,1,1,0,False,True
119,1/25/2018 19:00,外围区,核心区,outer->core,0,0,0,False,True
120,1/25/2018 19:00,外围区,近港区,outer->near,0,0,0,False,True
121,1/25/2018 20:00,核心区,近港区,core->near,0,1,1,True,True
122,1/25/2018 20:00,核心区,外围区,core->outer,0,0,0,False,True
123,1/25/2018 20:00,近港区,核心区,near->core,1,1,0,True,True
124,1/25/2018 20:00,近港区,外围区,near->outer,0,0,0,False,True
125,1/25/2018 20:00,外围区,核心区,outer->core,0,0,0,False,True
126,1/25/2018 20:00,外围区,近港区,outer->near,0,0,0,False,True
127,1/25/2018 21:00,核心区,近港区,core->near,1,1,0,True,True
128,1/25/2018 21:00,核心区,外围区,core->outer,0,0,0,False,True
129,1/25/2018 21:00,近港区,核心区,near->core,1,0,-1,True,True
130,1/25/2018 21:00,近港区,外围区,near->outer,0,0,0,False,True
131,1/25/2018 21:00,外围区,核心区,outer->core,0,0,0,False,True
132,1/25/2018 21:00,外围区,近港区,outer->near,0,0,0,False,True
133,1/25/2018 22:00,核心区,近港区,core->near,2,1,-1,True,True
134,1/25/2018 22:00,核心区,外围区,core->outer,0,0,0,False,True
135,1/25/2018 22:00,近港区,核心区,near->core,1,1,0,True,True
136,1/25/2018 22:00,近港区,外围区,near->outer,0,0,0,False,True
137,1/25/2018 22:00,外围区,核心区,outer->core,0,0,0,False,True
138,1/25/2018 22:00,外围区,近港区,outer->near,0,0,0,False,True
139,1/25/2018 23:00,核心区,近港区,core->near,1,1,0,True,True
140,1/25/2018 23:00,核心区,外围区,core->outer,0,0,0,False,True
141,1/25/2018 23:00,近港区,核心区,near->core,1,1,0,True,True
142,1/25/2018 23:00,近港区,外围区,near->outer,0,0,0,False,True
143,1/25/2018 23:00,外围区,核心区,outer->core,0,0,0,False,True
144,1/25/2018 23:00,外围区,近港区,outer->near,0,0,0,False,True
145,1/26/2018 0:00,核心区,近港区,core->near,0,0,0,True,True
146,1/26/2018 0:00,核心区,外围区,core->outer,0,0,0,False,True
147,1/26/2018 0:00,近港区,核心区,near->core,1,1,0,True,True
148,1/26/2018 0:00,近港区,外围区,near->outer,0,0,0,False,True
149,1/26/2018 0:00,外围区,核心区,outer->core,0,0,0,False,True
150,1/26/2018 0:00,外围区,近港区,outer->near,0,0,0,False,True
151,1/26/2018 1:00,核心区,近港区,core->near,1,1,0,True,True
152,1/26/2018 1:00,核心区,外围区,core->outer,0,0,0,False,True
153,1/26/2018 1:00,近港区,核心区,near->core,0,0,0,True,True
154,1/26/2018 1:00,近港区,外围区,near->outer,0,0,0,False,True
155,1/26/2018 1:00,外围区,核心区,outer->core,0,0,0,False,True
156,1/26/2018 1:00,外围区,近港区,outer->near,0,0,0,False,True
157,1/26/2018 2:00,核心区,近港区,core->near,1,1,0,True,True
158,1/26/2018 2:00,核心区,外围区,core->outer,0,0,0,False,True
159,1/26/2018 2:00,近港区,核心区,near->core,1,1,0,True,True
160,1/26/2018 2:00,近港区,外围区,near->outer,0,0,0,False,True
161,1/26/2018 2:00,外围区,核心区,outer->core,0,0,0,False,True
162,1/26/2018 2:00,外围区,近港区,outer->near,0,0,0,False,True
163,1/26/2018 3:00,核心区,近港区,core->near,1,1,0,True,True
164,1/26/2018 3:00,核心区,外围区,core->outer,0,0,0,False,True
165,1/26/2018 3:00,近港区,核心区,near->core,1,1,0,True,True
166,1/26/2018 3:00,近港区,外围区,near->outer,0,0,0,False,True
167,1/26/2018 3:00,外围区,核心区,outer->core,0,0,0,False,True
168,1/26/2018 3:00,外围区,近港区,outer->near,0,0,0,False,True
169,1/26/2018 4:00,核心区,近港区,core->near,1,0,-1,True,True
170,1/26/2018 4:00,核心区,外围区,core->outer,0,0,0,False,True
171,1/26/2018 4:00,近港区,核心区,near->core,1,1,0,True,True
172,1/26/2018 4:00,近港区,外围区,near->outer,0,0,0,False,True
173,1/26/2018 4:00,外围区,核心区,outer->core,0,0,0,False,True
174,1/26/2018 4:00,外围区,近港区,outer->near,0,0,0,False,True
175,1/26/2018 5:00,核心区,近港区,core->near,0,0,0,True,True
176,1/26/2018 5:00,核心区,外围区,core->outer,0,0,0,False,True
177,1/26/2018 5:00,近港区,核心区,near->core,1,1,0,True,True
178,1/26/2018 5:00,近港区,外围区,near->outer,0,0,0,False,True
179,1/26/2018 5:00,外围区,核心区,outer->core,0,0,0,False,True
180,1/26/2018 5:00,外围区,近港区,outer->near,1,1,0,False,True
181,1/26/2018 6:00,核心区,近港区,core->near,2,2,0,True,True
182,1/26/2018 6:00,核心区,外围区,core->outer,1,1,0,False,True
183,1/26/2018 6:00,近港区,核心区,near->core,1,1,0,True,True
184,1/26/2018 6:00,近港区,外围区,near->outer,0,0,0,False,True
185,1/26/2018 6:00,外围区,核心区,outer->core,0,0,0,False,True
186,1/26/2018 6:00,外围区,近港区,outer->near,0,0,0,False,True
187,1/26/2018 7:00,核心区,近港区,core->near,1,1,0,True,True
188,1/26/2018 7:00,核心区,外围区,core->outer,0,0,0,False,True
189,1/26/2018 7:00,近港区,核心区,near->core,1,2,1,True,True
190,1/26/2018 7:00,近港区,外围区,near->outer,0,0,0,False,True
191,1/26/2018 7:00,外围区,核心区,outer->core,0,0,0,False,True
192,1/26/2018 7:00,外围区,近港区,outer->near,1,1,0,False,True
193,1/26/2018 8:00,核心区,近港区,core->near,1,1,0,True,True
194,1/26/2018 8:00,核心区,外围区,core->outer,0,0,0,False,True
195,1/26/2018 8:00,近港区,核心区,near->core,1,2,1,True,True
196,1/26/2018 8:00,近港区,外围区,near->outer,1,1,0,False,True
197,1/26/2018 8:00,外围区,核心区,outer->core,0,0,0,False,True
198,1/26/2018 8:00,外围区,近港区,outer->near,0,0,0,False,True
199,1/26/2018 9:00,核心区,近港区,core->near,1,1,0,True,True
200,1/26/2018 9:00,核心区,外围区,core->outer,0,0,0,False,True
201,1/26/2018 9:00,近港区,核心区,near->core,1,1,0,True,True
202,1/26/2018 9:00,近港区,外围区,near->outer,0,0,0,False,True
203,1/26/2018 9:00,外围区,核心区,outer->core,0,0,0,False,True
204,1/26/2018 9:00,外围区,近港区,outer->near,1,1,0,False,True
205,1/26/2018 10:00,核心区,近港区,core->near,2,2,0,True,True
206,1/26/2018 10:00,核心区,外围区,core->outer,0,0,0,False,True
207,1/26/2018 10:00,近港区,核心区,near->core,1,1,0,True,True
208,1/26/2018 10:00,近港区,外围区,near->outer,0,0,0,False,True
209,1/26/2018 10:00,外围区,核心区,outer->core,0,0,0,False,True
210,1/26/2018 10:00,外围区,近港区,outer->near,1,1,0,False,True
211,1/26/2018 11:00,核心区,近港区,core->near,1,1,0,True,True
212,1/26/2018 11:00,核心区,外围区,core->outer,0,0,0,False,True
213,1/26/2018 11:00,近港区,核心区,near->core,1,2,1,True,True
214,1/26/2018 11:00,近港区,外围区,near->outer,1,1,0,False,True
215,1/26/2018 11:00,外围区,核心区,outer->core,0,0,0,False,True
216,1/26/2018 11:00,外围区,近港区,outer->near,0,0,0,False,True
217,1/26/2018 12:00,核心区,近港区,core->near,1,1,0,True,True
218,1/26/2018 12:00,核心区,外围区,core->outer,0,0,0,False,True
219,1/26/2018 12:00,近港区,核心区,near->core,1,1,0,True,True
220,1/26/2018 12:00,近港区,外围区,near->outer,0,0,0,False,True
221,1/26/2018 12:00,外围区,核心区,outer->core,0,0,0,False,True
222,1/26/2018 12:00,外围区,近港区,outer->near,0,0,0,False,True
223,1/26/2018 13:00,核心区,近港区,core->near,1,1,0,True,True
224,1/26/2018 13:00,核心区,外围区,core->outer,0,0,0,False,True
225,1/26/2018 13:00,近港区,核心区,near->core,1,1,0,True,True
226,1/26/2018 13:00,近港区,外围区,near->outer,0,0,0,False,True
227,1/26/2018 13:00,外围区,核心区,outer->core,0,0,0,False,True
228,1/26/2018 13:00,外围区,近港区,outer->near,1,1,0,False,True
229,1/26/2018 14:00,核心区,近港区,core->near,2,2,0,True,True
230,1/26/2018 14:00,核心区,外围区,core->outer,0,0,0,False,True
231,1/26/2018 14:00,近港区,核心区,near->core,1,1,0,True,True
232,1/26/2018 14:00,近港区,外围区,near->outer,0,0,0,False,True
233,1/26/2018 14:00,外围区,核心区,outer->core,0,0,0,False,True
234,1/26/2018 14:00,外围区,近港区,outer->near,0,0,0,False,True
235,1/26/2018 15:00,核心区,近港区,core->near,1,1,0,True,True
236,1/26/2018 15:00,核心区,外围区,core->outer,0,0,0,False,True
237,1/26/2018 15:00,近港区,核心区,near->core,2,2,0,True,True
238,1/26/2018 15:00,近港区,外围区,near->outer,0,0,0,False,True
239,1/26/2018 15:00,外围区,核心区,outer->core,0,0,0,False,True
240,1/26/2018 15:00,外围区,近港区,outer->near,0,0,0,False,True
241,1/26/2018 16:00,核心区,近港区,core->near,1,1,0,True,True
242,1/26/2018 16:00,核心区,外围区,core->outer,0,0,0,False,True
243,1/26/2018 16:00,近港区,核心区,near->core,1,1,0,True,True
244,1/26/2018 16:00,近港区,外围区,near->outer,0,0,0,False,True
245,1/26/2018 16:00,外围区,核心区,outer->core,0,0,0,False,True
246,1/26/2018 16:00,外围区,近港区,outer->near,0,0,0,False,True
247,1/26/2018 17:00,核心区,近港区,core->near,1,1,0,True,True
248,1/26/2018 17:00,核心区,外围区,core->outer,0,0,0,False,True
249,1/26/2018 17:00,近港区,核心区,near->core,1,1,0,True,True
250,1/26/2018 17:00,近港区,外围区,near->outer,0,0,0,False,True
251,1/26/2018 17:00,外围区,核心区,outer->core,0,0,0,False,True
252,1/26/2018 17:00,外围区,近港区,outer->near,1,1,0,False,True
253,1/26/2018 18:00,核心区,近港区,core->near,2,2,0,True,True
254,1/26/2018 18:00,核心区,外围区,core->outer,0,0,0,False,True
255,1/26/2018 18:00,近港区,核心区,near->core,1,1,0,True,True
256,1/26/2018 18:00,近港区,外围区,near->outer,0,0,0,False,True
257,1/26/2018 18:00,外围区,核心区,outer->core,0,0,0,False,True
258,1/26/2018 18:00,外围区,近港区,outer->near,1,1,0,False,True
259,1/26/2018 19:00,核心区,近港区,core->near,1,1,0,True,True
260,1/26/2018 19:00,核心区,外围区,core->outer,0,0,0,False,True
261,1/26/2018 19:00,近港区,核心区,near->core,1,2,1,True,True
262,1/26/2018 19:00,近港区,外围区,near->outer,1,1,0,False,True
263,1/26/2018 19:00,外围区,核心区,outer->core,0,0,0,False,True
264,1/26/2018 19:00,外围区,近港区,outer->near,0,0,0,False,True
265,1/26/2018 20:00,核心区,近港区,core->near,0,1,1,True,True
266,1/26/2018 20:00,核心区,外围区,core->outer,0,0,0,False,True
267,1/26/2018 20:00,近港区,核心区,near->core,1,1,0,True,True
268,1/26/2018 20:00,近港区,外围区,near->outer,0,0,0,False,True
269,1/26/2018 20:00,外围区,核心区,outer->core,0,0,0,False,True
270,1/26/2018 20:00,外围区,近港区,outer->near,0,0,0,False,True
271,1/26/2018 21:00,核心区,近港区,core->near,1,1,0,True,True
272,1/26/2018 21:00,核心区,外围区,core->outer,0,0,0,False,True
273,1/26/2018 21:00,近港区,核心区,near->core,1,0,-1,True,True
274,1/26/2018 21:00,近港区,外围区,near->outer,0,0,0,False,True
275,1/26/2018 21:00,外围区,核心区,outer->core,0,0,0,False,True
276,1/26/2018 21:00,外围区,近港区,outer->near,0,0,0,False,True
277,1/26/2018 22:00,核心区,近港区,core->near,2,1,-1,True,True
278,1/26/2018 22:00,核心区,外围区,core->outer,0,0,0,False,True
279,1/26/2018 22:00,近港区,核心区,near->core,1,1,0,True,True
280,1/26/2018 22:00,近港区,外围区,near->outer,0,0,0,False,True
281,1/26/2018 22:00,外围区,核心区,outer->core,0,0,0,False,True
282,1/26/2018 22:00,外围区,近港区,outer->near,0,0,0,False,True
283,1/26/2018 23:00,核心区,近港区,core->near,1,1,0,True,True
284,1/26/2018 23:00,核心区,外围区,core->outer,0,0,0,False,True
285,1/26/2018 23:00,近港区,核心区,near->core,1,1,0,True,True
286,1/26/2018 23:00,近港区,外围区,near->outer,0,0,0,False,True
287,1/26/2018 23:00,外围区,核心区,outer->core,0,0,0,False,True
288,1/26/2018 23:00,外围区,近港区,outer->near,0,0,0,False,True
289,1/27/2018 0:00,核心区,近港区,core->near,0,0,0,True,True
290,1/27/2018 0:00,核心区,外围区,core->outer,0,0,0,False,True
291,1/27/2018 0:00,近港区,核心区,near->core,1,1,0,True,True
292,1/27/2018 0:00,近港区,外围区,near->outer,0,0,0,False,True
293,1/27/2018 0:00,外围区,核心区,outer->core,0,0,0,False,True
294,1/27/2018 0:00,外围区,近港区,outer->near,0,0,0,False,True
295,1/27/2018 1:00,核心区,近港区,core->near,1,1,0,True,True
296,1/27/2018 1:00,核心区,外围区,core->outer,0,0,0,False,True
297,1/27/2018 1:00,近港区,核心区,near->core,0,0,0,True,True
298,1/27/2018 1:00,近港区,外围区,near->outer,0,0,0,False,True
299,1/27/2018 1:00,外围区,核心区,outer->core,0,0,0,False,True
300,1/27/2018 1:00,外围区,近港区,outer->near,0,0,0,False,True
301,1/27/2018 2:00,核心区,近港区,core->near,1,1,0,True,True
302,1/27/2018 2:00,核心区,外围区,core->outer,0,0,0,False,True
303,1/27/2018 2:00,近港区,核心区,near->core,1,1,0,True,True
304,1/27/2018 2:00,近港区,外围区,near->outer,0,0,0,False,True
305,1/27/2018 2:00,外围区,核心区,outer->core,0,0,0,False,True
306,1/27/2018 2:00,外围区,近港区,outer->near,0,0,0,False,True
307,1/27/2018 3:00,核心区,近港区,core->near,1,1,0,True,True
308,1/27/2018 3:00,核心区,外围区,core->outer,0,0,0,False,True
309,1/27/2018 3:00,近港区,核心区,near->core,1,1,0,True,True
310,1/27/2018 3:00,近港区,外围区,near->outer,0,0,0,False,True
311,1/27/2018 3:00,外围区,核心区,outer->core,0,0,0,False,True
312,1/27/2018 3:00,外围区,近港区,outer->near,0,0,0,False,True
313,1/27/2018 4:00,核心区,近港区,core->near,1,0,-1,True,True
314,1/27/2018 4:00,核心区,外围区,core->outer,0,0,0,False,True
315,1/27/2018 4:00,近港区,核心区,near->core,1,1,0,True,True
316,1/27/2018 4:00,近港区,外围区,near->outer,0,0,0,False,True
317,1/27/2018 4:00,外围区,核心区,outer->core,0,0,0,False,True
318,1/27/2018 4:00,外围区,近港区,outer->near,0,0,0,False,True
319,1/27/2018 5:00,核心区,近港区,core->near,0,0,0,True,True
320,1/27/2018 5:00,核心区,外围区,core->outer,0,0,0,False,True
321,1/27/2018 5:00,近港区,核心区,near->core,1,1,0,True,True
322,1/27/2018 5:00,近港区,外围区,near->outer,0,0,0,False,True
323,1/27/2018 5:00,外围区,核心区,outer->core,0,0,0,False,True
324,1/27/2018 5:00,外围区,近港区,outer->near,1,1,0,False,True
325,1/27/2018 6:00,核心区,近港区,core->near,2,2,0,True,True
326,1/27/2018 6:00,核心区,外围区,core->outer,1,1,0,False,True
327,1/27/2018 6:00,近港区,核心区,near->core,1,1,0,True,True
328,1/27/2018 6:00,近港区,外围区,near->outer,0,0,0,False,True
329,1/27/2018 6:00,外围区,核心区,outer->core,0,0,0,False,True
330,1/27/2018 6:00,外围区,近港区,outer->near,0,0,0,False,True
331,1/27/2018 7:00,核心区,近港区,core->near,1,1,0,True,True
332,1/27/2018 7:00,核心区,外围区,core->outer,0,0,0,False,True
333,1/27/2018 7:00,近港区,核心区,near->core,1,2,1,True,True
334,1/27/2018 7:00,近港区,外围区,near->outer,0,0,0,False,True
335,1/27/2018 7:00,外围区,核心区,outer->core,0,0,0,False,True
336,1/27/2018 7:00,外围区,近港区,outer->near,1,1,0,False,True
337,1/27/2018 8:00,核心区,近港区,core->near,1,1,0,True,True
338,1/27/2018 8:00,核心区,外围区,core->outer,0,0,0,False,True
339,1/27/2018 8:00,近港区,核心区,near->core,1,2,1,True,True
340,1/27/2018 8:00,近港区,外围区,near->outer,1,1,0,False,True
341,1/27/2018 8:00,外围区,核心区,outer->core,0,0,0,False,True
342,1/27/2018 8:00,外围区,近港区,outer->near,0,0,0,False,True
343,1/27/2018 9:00,核心区,近港区,core->near,1,1,0,True,True
344,1/27/2018 9:00,核心区,外围区,core->outer,0,0,0,False,True
345,1/27/2018 9:00,近港区,核心区,near->core,1,1,0,True,True
346,1/27/2018 9:00,近港区,外围区,near->outer,0,0,0,False,True
347,1/27/2018 9:00,外围区,核心区,outer->core,0,0,0,False,True
348,1/27/2018 9:00,外围区,近港区,outer->near,1,1,0,False,True
349,1/27/2018 10:00,核心区,近港区,core->near,2,2,0,True,True
350,1/27/2018 10:00,核心区,外围区,core->outer,0,0,0,False,True
351,1/27/2018 10:00,近港区,核心区,near->core,1,1,0,True,True
352,1/27/2018 10:00,近港区,外围区,near->outer,0,0,0,False,True
353,1/27/2018 10:00,外围区,核心区,outer->core,0,0,0,False,True
354,1/27/2018 10:00,外围区,近港区,outer->near,1,1,0,False,True
355,1/27/2018 11:00,核心区,近港区,core->near,1,1,0,True,True
356,1/27/2018 11:00,核心区,外围区,core->outer,0,0,0,False,True
357,1/27/2018 11:00,近港区,核心区,near->core,1,2,1,True,True
358,1/27/2018 11:00,近港区,外围区,near->outer,1,1,0,False,True
359,1/27/2018 11:00,外围区,核心区,outer->core,0,0,0,False,True
360,1/27/2018 11:00,外围区,近港区,outer->near,0,0,0,False,True
361,1/27/2018 12:00,核心区,近港区,core->near,1,1,0,True,True
362,1/27/2018 12:00,核心区,外围区,core->outer,0,0,0,False,True
363,1/27/2018 12:00,近港区,核心区,near->core,1,1,0,True,True
364,1/27/2018 12:00,近港区,外围区,near->outer,0,0,0,False,True
365,1/27/2018 12:00,外围区,核心区,outer->core,0,0,0,False,True
366,1/27/2018 12:00,外围区,近港区,outer->near,0,0,0,False,True
367,1/27/2018 13:00,核心区,近港区,core->near,1,1,0,True,True
368,1/27/2018 13:00,核心区,外围区,core->outer,0,0,0,False,True
369,1/27/2018 13:00,近港区,核心区,near->core,1,1,0,True,True
370,1/27/2018 13:00,近港区,外围区,near->outer,0,0,0,False,True
371,1/27/2018 13:00,外围区,核心区,outer->core,0,0,0,False,True
372,1/27/2018 13:00,外围区,近港区,outer->near,1,1,0,False,True
373,1/27/2018 14:00,核心区,近港区,core->near,2,2,0,True,True
374,1/27/2018 14:00,核心区,外围区,core->outer,0,0,0,False,True
375,1/27/2018 14:00,近港区,核心区,near->core,1,1,0,True,True
376,1/27/2018 14:00,近港区,外围区,near->outer,0,0,0,False,True
377,1/27/2018 14:00,外围区,核心区,outer->core,0,0,0,False,True
378,1/27/2018 14:00,外围区,近港区,outer->near,0,0,0,False,True
379,1/27/2018 15:00,核心区,近港区,core->near,1,1,0,True,True
380,1/27/2018 15:00,核心区,外围区,core->outer,0,0,0,False,True
381,1/27/2018 15:00,近港区,核心区,near->core,2,2,0,True,True
382,1/27/2018 15:00,近港区,外围区,near->outer,0,0,0,False,True
383,1/27/2018 15:00,外围区,核心区,outer->core,0,0,0,False,True
384,1/27/2018 15:00,外围区,近港区,outer->near,0,0,0,False,True
385,1/27/2018 16:00,核心区,近港区,core->near,1,1,0,True,True
386,1/27/2018 16:00,核心区,外围区,core->outer,0,0,0,False,True
387,1/27/2018 16:00,近港区,核心区,near->core,1,1,0,True,True
388,1/27/2018 16:00,近港区,外围区,near->outer,0,0,0,False,True
