row_number,time_window,source_zone,target_zone,task_key,baseline_vessel_count,step17_hybrid_vessel_count,candidate08_vessel_count,candidate08_difference_from_baseline,step17_difference_from_baseline,is_core_to_near,is_near_to_core,was_replaced,passed
33,1/25/2018 5:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
34,1/25/2018 5:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
35,1/25/2018 5:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
36,1/25/2018 5:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
37,1/25/2018 6:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
38,1/25/2018 6:00,核心区,外围区,core->outer,1,1,1,0,0,False,False,False,True
39,1/25/2018 6:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
40,1/25/2018 6:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
41,1/25/2018 6:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
42,1/25/2018 6:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
43,1/25/2018 7:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
44,1/25/2018 7:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
45,1/25/2018 7:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
46,1/25/2018 7:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
47,1/25/2018 7:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
48,1/25/2018 7:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
49,1/25/2018 8:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
50,1/25/2018 8:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
51,1/25/2018 8:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
52,1/25/2018 8:00,近港区,外围区,near->outer,1,1,1,0,0,False,False,False,True
53,1/25/2018 8:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
54,1/25/2018 8:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
55,1/25/2018 9:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
56,1/25/2018 9:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
57,1/25/2018 9:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
58,1/25/2018 9:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
59,1/25/2018 9:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
60,1/25/2018 9:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
61,1/25/2018 10:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
62,1/25/2018 10:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
63,1/25/2018 10:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
64,1/25/2018 10:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
65,1/25/2018 10:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
66,1/25/2018 10:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
67,1/25/2018 11:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
68,1/25/2018 11:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
69,1/25/2018 11:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
70,1/25/2018 11:00,近港区,外围区,near->outer,1,1,1,0,0,False,False,False,True
71,1/25/2018 11:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
72,1/25/2018 11:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
73,1/25/2018 12:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
74,1/25/2018 12:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
75,1/25/2018 12:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
76,1/25/2018 12:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
77,1/25/2018 12:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
78,1/25/2018 12:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
79,1/25/2018 13:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
80,1/25/2018 13:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
81,1/25/2018 13:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
82,1/25/2018 13:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
83,1/25/2018 13:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
84,1/25/2018 13:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
85,1/25/2018 14:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
86,1/25/2018 14:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
87,1/25/2018 14:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
88,1/25/2018 14:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
89,1/25/2018 14:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
90,1/25/2018 14:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
91,1/25/2018 15:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
92,1/25/2018 15:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
93,1/25/2018 15:00,近港区,核心区,near->core,2,2,2,0,0,False,True,False,True
94,1/25/2018 15:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
95,1/25/2018 15:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
96,1/25/2018 15:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
97,1/25/2018 16:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
98,1/25/2018 16:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
99,1/25/2018 16:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
100,1/25/2018 16:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
101,1/25/2018 16:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
102,1/25/2018 16:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
103,1/25/2018 17:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
104,1/25/2018 17:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
105,1/25/2018 17:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
106,1/25/2018 17:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
107,1/25/2018 17:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
108,1/25/2018 17:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
109,1/25/2018 18:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
110,1/25/2018 18:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
111,1/25/2018 18:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
112,1/25/2018 18:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
113,1/25/2018 18:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
114,1/25/2018 18:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
115,1/25/2018 19:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
116,1/25/2018 19:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
117,1/25/2018 19:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
118,1/25/2018 19:00,近港区,外围区,near->outer,1,1,1,0,0,False,False,False,True
119,1/25/2018 19:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
120,1/25/2018 19:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
121,1/25/2018 20:00,核心区,近港区,core->near,0,1,1,1,1,True,False,True,True
122,1/25/2018 20:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
123,1/25/2018 20:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
124,1/25/2018 20:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
125,1/25/2018 20:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
126,1/25/2018 20:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
127,1/25/2018 21:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
128,1/25/2018 21:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
129,1/25/2018 21:00,近港区,核心区,near->core,1,0,1,0,-1,False,True,False,True
130,1/25/2018 21:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
131,1/25/2018 21:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
132,1/25/2018 21:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
133,1/25/2018 22:00,核心区,近港区,core->near,2,1,1,-1,-1,True,False,True,True
134,1/25/2018 22:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
135,1/25/2018 22:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
136,1/25/2018 22:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
137,1/25/2018 22:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
138,1/25/2018 22:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
139,1/25/2018 23:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
140,1/25/2018 23:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
141,1/25/2018 23:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
142,1/25/2018 23:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
143,1/25/2018 23:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
144,1/25/2018 23:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
145,1/26/2018 0:00,核心区,近港区,core->near,0,0,0,0,0,True,False,True,True
146,1/26/2018 0:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
147,1/26/2018 0:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
148,1/26/2018 0:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
149,1/26/2018 0:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
150,1/26/2018 0:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
151,1/26/2018 1:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
152,1/26/2018 1:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
153,1/26/2018 1:00,近港区,核心区,near->core,0,0,0,0,0,False,True,False,True
154,1/26/2018 1:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
155,1/26/2018 1:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
156,1/26/2018 1:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
157,1/26/2018 2:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
158,1/26/2018 2:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
159,1/26/2018 2:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
160,1/26/2018 2:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
161,1/26/2018 2:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
162,1/26/2018 2:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
163,1/26/2018 3:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
164,1/26/2018 3:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
165,1/26/2018 3:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
166,1/26/2018 3:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
167,1/26/2018 3:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
168,1/26/2018 3:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
169,1/26/2018 4:00,核心区,近港区,core->near,1,0,0,-1,-1,True,False,True,True
170,1/26/2018 4:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
171,1/26/2018 4:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
172,1/26/2018 4:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
173,1/26/2018 4:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
174,1/26/2018 4:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
175,1/26/2018 5:00,核心区,近港区,core->near,0,0,0,0,0,True,False,True,True
176,1/26/2018 5:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
177,1/26/2018 5:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
178,1/26/2018 5:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
179,1/26/2018 5:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
180,1/26/2018 5:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
181,1/26/2018 6:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
182,1/26/2018 6:00,核心区,外围区,core->outer,1,1,1,0,0,False,False,False,True
183,1/26/2018 6:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
184,1/26/2018 6:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
185,1/26/2018 6:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
186,1/26/2018 6:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
187,1/26/2018 7:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
188,1/26/2018 7:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
189,1/26/2018 7:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
190,1/26/2018 7:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
191,1/26/2018 7:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
192,1/26/2018 7:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
193,1/26/2018 8:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
194,1/26/2018 8:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
195,1/26/2018 8:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
196,1/26/2018 8:00,近港区,外围区,near->outer,1,1,1,0,0,False,False,False,True
197,1/26/2018 8:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
198,1/26/2018 8:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
199,1/26/2018 9:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
200,1/26/2018 9:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
201,1/26/2018 9:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
202,1/26/2018 9:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
203,1/26/2018 9:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
204,1/26/2018 9:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
205,1/26/2018 10:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
206,1/26/2018 10:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
207,1/26/2018 10:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
208,1/26/2018 10:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
209,1/26/2018 10:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
210,1/26/2018 10:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
211,1/26/2018 11:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
212,1/26/2018 11:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
213,1/26/2018 11:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
214,1/26/2018 11:00,近港区,外围区,near->outer,1,1,1,0,0,False,False,False,True
215,1/26/2018 11:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
216,1/26/2018 11:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
217,1/26/2018 12:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
218,1/26/2018 12:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
219,1/26/2018 12:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
220,1/26/2018 12:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
221,1/26/2018 12:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
222,1/26/2018 12:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
223,1/26/2018 13:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
224,1/26/2018 13:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
225,1/26/2018 13:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
226,1/26/2018 13:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
227,1/26/2018 13:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
228,1/26/2018 13:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
229,1/26/2018 14:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
230,1/26/2018 14:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
231,1/26/2018 14:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
232,1/26/2018 14:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
233,1/26/2018 14:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
234,1/26/2018 14:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
235,1/26/2018 15:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
236,1/26/2018 15:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
237,1/26/2018 15:00,近港区,核心区,near->core,2,2,2,0,0,False,True,False,True
238,1/26/2018 15:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
239,1/26/2018 15:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
240,1/26/2018 15:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
241,1/26/2018 16:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
242,1/26/2018 16:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
243,1/26/2018 16:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
244,1/26/2018 16:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
245,1/26/2018 16:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
246,1/26/2018 16:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
247,1/26/2018 17:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
248,1/26/2018 17:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
249,1/26/2018 17:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
250,1/26/2018 17:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
251,1/26/2018 17:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
252,1/26/2018 17:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
253,1/26/2018 18:00,核心区,近港区,core->near,2,2,2,0,0,True,False,True,True
254,1/26/2018 18:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
255,1/26/2018 18:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
256,1/26/2018 18:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
257,1/26/2018 18:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
258,1/26/2018 18:00,外围区,近港区,outer->near,1,1,1,0,0,False,False,False,True
259,1/26/2018 19:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
260,1/26/2018 19:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
261,1/26/2018 19:00,近港区,核心区,near->core,1,2,1,0,1,False,True,False,True
262,1/26/2018 19:00,近港区,外围区,near->outer,1,1,1,0,0,False,False,False,True
263,1/26/2018 19:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
264,1/26/2018 19:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
265,1/26/2018 20:00,核心区,近港区,core->near,0,1,1,1,1,True,False,True,True
266,1/26/2018 20:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
267,1/26/2018 20:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
268,1/26/2018 20:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
269,1/26/2018 20:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
270,1/26/2018 20:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
271,1/26/2018 21:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
272,1/26/2018 21:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
273,1/26/2018 21:00,近港区,核心区,near->core,1,0,1,0,-1,False,True,False,True
274,1/26/2018 21:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
275,1/26/2018 21:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
276,1/26/2018 21:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
277,1/26/2018 22:00,核心区,近港区,core->near,2,1,1,-1,-1,True,False,True,True
278,1/26/2018 22:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
279,1/26/2018 22:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
280,1/26/2018 22:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
281,1/26/2018 22:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
282,1/26/2018 22:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
283,1/26/2018 23:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
284,1/26/2018 23:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
285,1/26/2018 23:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
286,1/26/2018 23:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
287,1/26/2018 23:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
288,1/26/2018 23:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
289,1/27/2018 0:00,核心区,近港区,core->near,0,0,0,0,0,True,False,True,True
290,1/27/2018 0:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
291,1/27/2018 0:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
292,1/27/2018 0:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
293,1/27/2018 0:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
294,1/27/2018 0:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
295,1/27/2018 1:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
296,1/27/2018 1:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
297,1/27/2018 1:00,近港区,核心区,near->core,0,0,0,0,0,False,True,False,True
298,1/27/2018 1:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
299,1/27/2018 1:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
300,1/27/2018 1:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
301,1/27/2018 2:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
302,1/27/2018 2:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
303,1/27/2018 2:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
304,1/27/2018 2:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
305,1/27/2018 2:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
306,1/27/2018 2:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
307,1/27/2018 3:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
308,1/27/2018 3:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
309,1/27/2018 3:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
310,1/27/2018 3:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
311,1/27/2018 3:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
312,1/27/2018 3:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
313,1/27/2018 4:00,核心区,近港区,core->near,1,0,0,-1,-1,True,False,True,True
314,1/27/2018 4:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
315,1/27/2018 4:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
